time,avg outbreak size,avg time to extinction
0,2.8,1.328
1,23,3.10481
2,21.6,2.57102
3,40.8,4.72711
4,25.4,4.59215
5,20.4,2.82545
6,13.4,1.37563
7,12,2.52521
8,12.6,2.51778
9,23.4,2.61962
10,17.4,2.298
11,39,4.69034
12,18.2,2.45533
13,39.8,4.42808
14,37.8,5.69713
15,28.8,4.30218
16,31.6,4.50017
17,37.4,4.68318
18,9.6,1.49688
19,30.4,4.21296
20,20.2,3.55511
21,22.6,3.86887
22,19.2,2.00608
23,20,2.12328
24,27.6,4.07942
25,1.6,1.47125
26,1.8,1.45243
27,18.4,2.7682
28,43,5.74408
29,35.2,4.23455
30,30.8,3.91376
31,29,4.76183
32,1.4,0.505832
33,26.4,4.00387
34,12.2,1.85431
35,32.6,3.99193
36,29.2,3.91222
37,21.2,2.57969
38,20,1.67474
39,8.6,1.47335
40,25.6,4.32717
41,21.2,3.86178
42,34,3.84543
43,11.2,2.1166
44,16,3.247
45,12.6,1.83113
46,17.2,2.99261
47,8.8,1.60851
48,14.4,1.82665
49,18.4,2.10318
50,19.4,3.44912
51,11.2,2.34884
52,20.2,3.62272
53,17.6,2.22333
54,12.2,2.60418
55,29.8,3.5696
56,20.2,2.8314
57,30.4,3.50219
58,13,3.65046
59,12,1.79755
60,18,1.85291
61,23.4,3.19556
62,1.6,1.34617
63,10.8,1.56245
64,20.4,2.35873
65,11.4,2.18426
66,24.2,3.90942
67,11.8,2.13761
68,10.8,2.38875
69,9.2,2.09
70,2.2,1.16146
71,38.4,5.58067
72,30,4.19648
73,27.6,4.38211
74,30.8,4.32204
75,12.2,2.43854
76,17.2,2.65875
77,11.8,1.84948
78,34.8,4.59908
79,22,3.0121
80,8.6,2.29876
81,11.8,1.92355
82,1,0.444426
83,12.4,1.39801
84,39,5.06872
85,17,2.65954
86,18,2.14325
87,17.2,2.38557
88,26.2,3.06918
89,21,3.15293
90,11.8,1.97055
91,43.4,5.8559
92,28.8,3.91845
93,19.2,2.25236
94,30.4,5.7316
95,8.2,1.13051
96,22.4,2.71941
97,27,3.78501
98,10.4,1.97645
99,12,2.1802
100,11.2,2.26503
